total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;flesch_reading_ease;flesch_kinkaid;gunning_fog;coleman_liau;smog_grade;automated_readibility_index;lexical_density;beyond_2000;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;m;h;s;u;mwf;r;bigram_model;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_model_reverse;bigram_perplexety_reverse;words_per_sentence;sentences_per_paragraph;simple_errors_per_word;complex_errors_per_word;level
75;4;112;12;339;55;49;29;61.46775;3.23;7.2000003;9.198934;12.688353;6.41;44.0;0.73333335;0.38666666;3.3486316;0.6533333;5.6580324;4.000833;0.022835394;0.90140843;0.92903626;43.791668;1.5306122;5.6580324;1.9334972;1.9334972;43.0;35.0;25.0;20.0;12.0;7.0;2.0063584;2.0063584;18.75;4.0;3.0;1.0;2
75;4;112;12;339;55;49;29;61.46775;3.23;7.2000003;9.198934;12.688353;6.41;44.0;0.73333335;0.38666666;3.3486316;0.6533333;5.6580324;4.000833;0.022835394;0.90140843;0.92903626;43.791668;1.5306122;5.6580324;1.9334972;1.9334972;43.0;35.0;25.0;20.0;12.0;7.0;2.0063584;2.0063584;18.75;4.0;3.0;1.0;2
48;3;75;7;217;44;37;20;58.4075;2.45;6.4;8.932501;11.855464;5.41;52.083333333333336;0.9166667;0.41666666;2.8867514;0.7708333;5.34049;3.7762966;0.017368188;0.93276423;0.9485782;57.57653;1.2972972;5.34049;1.5311238;1.5311238;33.0;33.0;19.0;12.0;3.0;5.0;1.2918501;1.2918501;16.0;3.0;0.0;1.0;2
76;3;132;16;391;67;55;34;34.18482;5.96;10.0;13.282632;16.322123;14.62;55.26315789473685;0.8815789;0.4473684;3.9000676;0.7236842;6.308933;4.461089;0.017243179;0.9253244;0.9470499;57.993946;1.3818182;6.308933;3.2329006;3.2329006;43.0;38.0;26.0;28.0;11.0;12.0;2.4018445;2.4018445;25.333334;3.0;0.0;0.0;2
75;5;99;5;307;60;56;38;79.937996;2.06;6.0;6.2954655;8.841846;4.91;50.66666666666667;0.8;0.50666666;4.387862;0.74666667;6.466323;4.572381;0.015671963;0.9323365;0.9521004;63.808216;1.3392857;6.466323;2.727516;2.727516;46.0;43.0;34.0;21.0;19.0;7.0;3.778963;3.778963;15.0;5.0;2.0;0.0;2
98;6;136;10;409;79;72;44;72.85258;2.45;6.4;6.927756;10.504224;5.41;56.12244897959183;0.8061224;0.4489796;4.444671;0.7346939;7.2730985;5.142857;0.014665704;0.9327582;0.9542881;68.186295;1.3611112;7.2730985;5.126909;5.126909;57.0;60.0;34.0;27.0;25.0;12.0;5.839295;5.839295;16.333334;3.0;4.0;0.0;2
108;4;168;16;502;90;71;40;47.829998;6.74;10.8;10.434815;14.167174;10.91;50.92592592592593;0.8333333;0.37037036;3.849002;0.6574074;6.8319783;4.8309383;0.0191335;0.91041446;0.93920314;52.26435;1.5211267;6.8319783;5.2244134;5.2244134;64.0;51.0;42.0;25.0;17.0;13.0;4.046178;4.046178;27.0;2.0;1.0;0.0;2
53;5;73;4;238;46;39;22;79.551476;0.11;4.0;7.8120775;8.238735;2.41;58.490566037735846;0.8679245;0.41509435;3.0219324;0.7358491;5.357062;3.788015;0.019458607;0.9227437;0.94168735;51.39114;1.3589743;5.357062;1.9731227;1.9731227;36.0;33.0;22.0;17.0;12.0;9.0;2.6901927;2.6901927;10.6;2.5;0.0;0.0;2
89;4;141;12;455;68;68;40;50.22204;4.79;8.8;12.930338;12.688353;13.12;51.68539325842697;0.76404494;0.4494382;4.2399917;0.76404494;7.2079854;5.0968156;0.013357682;0.9400422;0.9588222;74.86329;1.3088236;7.2079854;4.2795777;4.2795777;48.0;54.0;32.0;24.0;18.0;13.0;4.160001;4.160001;22.25;4.0;0.0;0.0;2
99;4;143;10;433;84;66;37;59.513752;5.57;9.6;8.721615;11.855464;9.41;50.505050505050505;0.8484849;0.37373737;3.7186399;0.6666667;6.6332498;4.690416;0.01920259;0.9117618;0.93942505;52.07631;1.5;6.6332498;3.3805707;3.3805707;64.0;56.0;46.0;26.0;22.0;17.0;3.539595;3.539595;24.75;2.0;2.0;0.0;2
61;4;91;9;256;51;45;29;65.14969;2.06;6.0;6.935737;11.407656;4.91;55.73770491803278;0.8360656;0.47540984;3.7130694;0.73770493;5.7616596;4.0741086;0.018001435;0.9259984;0.94561344;55.551125;1.3555555;5.7616596;1.10151;1.10151;37.0;38.0;19.0;11.0;14.0;5.0;1.6058623;1.6058623;15.25;2.0;0.0;2.0;2
61;2;87;7;241;55;42;24;55.218487;7.91;12.0;6.460328;13.816669;7.7;44.26229508196721;0.90163934;0.39344263;3.072885;0.6885246;5.377549;3.8025014;0.022084028;0.90921533;0.9326748;45.281597;1.4523809;5.377549;4.576712;4.576712;45.0;37.0;24.0;24.0;18.0;5.0;4.842392;4.842392;30.5;2.0;2.0;0.0;2
59;5;105;14;277;46;47;33;44.298676;0.5;4.4;9.2976265;12.688353;2.91;59.32203389830508;0.779661;0.55932206;4.296234;0.7966102;6.118879;4.3267007;0.013676506;0.94423354;0.9591732;73.118095;1.2553191;6.118879;1.6068572;1.6068572;28.0;27.0;21.0;16.0;12.0;8.0;2.1786199;2.1786199;11.8;2.5;3.0;1.0;2
