total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;flesch_reading_ease;flesch_kinkaid;gunning_fog;coleman_liau;smog_grade;automated_readibility_index;lexical_density;beyond_2000;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;m;h;s;u;mwf;r;bigram_model;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_model_reverse;bigram_perplexety_reverse;words_per_sentence;sentences_per_paragraph;simple_errors_per_word;complex_errors_per_word;level
45;4;59;4;175;43;39;19;84.49625000000003;0.5;4.4;4.435555555555553;8.648137234880735;-1.8000000000000007;51.11111111111111;0.9555555555555556;0.4222222222222222;2.8323527714997336;0.8666666666666667;5.813776741499453;4.110960958218893;0.009875371648850415;0.9624077931717798;0.9713357501950184;101.26201175592306;1.1538461538461537;5.813776741499453;1.652180625924077;1.652180625924077;36.0;28.0;19.0;18.0;7.0;8.0;1.3380591058534943;1.3380591058534943;11.25;4.0;1.0;0.0;1
39;5;51;3;150;36;29;11;88.28723076923079;-1.0599999999999987;2.8000000000000003;3.0205128205128204;7.554174236665414;-3.8000000000000007;48.717948717948715;0.9230769230769231;0.28205128205128205;1.7614096918559585;0.7435897435897436;4.643716460347527;3.283603399019327;0.022073669561743045;0.9191317508042588;0.9350558544571769;45.302843607532694;1.3448275862068966;4.643716460347527;0.9598242837827401;0.9598242837827401;36.0;23.0;13.0;8.0;8.0;6.0;1.800203764251932;1.800203764251932;7.8;5.0;1.0;0.0;1
39;2;44;2;144;29;31;23;91.59634615384618;3.620000000000001;7.6000000000000005;4.392820512820514;8.841846274778883;2.1999999999999993;51.28205128205128;0.7435897435897436;0.5897435897435898;3.682947537517004;0.7948717948717948;4.963972767957701;3.5100588058482463;0.01710474205445772;0.9373357230423479;0.9501602118737595;58.4633195178402;1.2580645161290323;4.963972767957701;1.6155950808081234;1.6155950808081234;22.0;22.0;12.0;10.0;6.0;4.0;1.5563595119903055;1.5563595119903055;19.5;2.0;4.0;0.0;1
31;2;41;3;127;26;23;15;79.21217741935487;2.0600000000000023;6.0;6.379354838709677;10.125756701596842;4.91;48.38709677419355;0.8387096774193549;0.4838709677419355;2.694079530401624;0.7419354838709677;4.130921946615823;2.9210029210043813;0.02531260191034618;0.913076848927645;0.9262919625577393;39.506013784828006;1.3478260869565217;4.130921946615823;2.925268444339558;2.925268444339558;19.0;15.0;14.0;8.0;7.0;6.0;1.2828367763404063;1.2828367763404063;15.5;2.0;0.0;0.0;1
27;1;32;1;104;24;22;12;79.16333333333336;6.740000000000002;10.8;5.752592592592592;8.841846274778883;6.199999999999999;44.44444444444444;0.8888888888888888;0.4444444444444444;2.309401076758503;0.8148148148148148;4.233901974057256;2.9938207967349952;0.018853270086189946;0.9378626974051986;0.9462112316433494;53.04119632447751;1.2272727272727273;4.233901974057256;1.108553832144113;1.108553832144113;15.0;20.0;12.0;10.0;7.0;4.0;1.1404261184617115;1.1404261184617115;27.0;1.0;0.0;0.0;1
33;2;46;4;125;27;30;17;72.16022727272728;2.4499999999999993;6.4;4.67878787878788;11.20814326018867;0.6999999999999993;48.484848484848484;0.8181818181818182;0.5151515151515151;2.9593201512468634;0.9090909090909091;5.222329678670935;3.6927447293799815;0.007795973340387787;0.972741320266343;0.977921496293501;128.2713468014833;1.1;5.222329678670935;0.7254701424204429;0.7254701424204429;20.0;22.0;13.0;17.0;10.0;8.0;0.4202268544541235;0.4202268544541235;16.5;2.0;3.0;1.0;1
37;1;43;1;147;30;31;15;70.96108108108109;10.64;14.8;6.761081081081077;8.841846274778883;11.199999999999996;37.83783783783784;0.8108108108108109;0.40540540540540543;2.4659848095803594;0.8378378378378378;5.0963686064660765;3.603676801058398;0.013569629324813776;0.9510011824030876;0.9608711373533503;73.69398058437558;1.1935483870967742;5.0963686064660765;1.216331623601572;1.216331623601572;25.0;21.0;15.0;9.0;6.0;4.0;0.5622595662347885;0.5622595662347885;37.0;1.0;2.0;0.0;1
29;3;44;3;134;21;27;18;68.66471264367817;-0.27999999999999936;3.6;8.307586206896552;8.841846274778883;1.9100000000000001;62.06896551724138;0.7241379310344828;0.6206896551724138;3.342516087186934;0.9310344827586207;5.0137741307804005;3.545273687212509;0.0063022288641708295;0.9787785310260572;0.9823328350271083;158.67402177111634;1.0740740740740742;5.0137741307804005;1.2332551841872255;1.2332551841872255;17.0;12.0;5.0;3.0;2.0;3.0;0.935349004835205;0.935349004835205;9.666666666666666;3.0;4.0;1.0;1
31;4;53;7;153;21;27;17;54.33004032258066;-1.0599999999999987;2.8000000000000003;9.401290322580643;10.4301;0.9100000000000001;64.51612903225806;0.6774193548387096;0.5483870967741935;3.0532901344551737;0.8709677419354839;4.849343154722923;3.4290034290051437;0.011715332204824921;0.9597696991123384;0.9667170409148353;85.35822821892778;1.1481481481481481;4.849343154722923;1.2088996675519916;1.2088996675519916;14.0;15.0;12.0;8.0;5.0;5.0;0.3551525306489771;0.3551525306489771;7.75;4.0;1.0;1.0;1
25;1;33;2;111;17;15;12;69.78800000000001;5.960000000000001;10.0;9.1232;11.20814326018867;9.91;64.0;0.68;0.48;2.4;0.6;3.0;2.1213203435596424;0.04930196484466911;0.8413030972429927;0.8521826118220067;20.283167276407795;1.6666666666666667;3.0;0.6044284014917524;0.6044284014917524;14.0;13.0;12.0;9.0;8.0;0.0;1.2021358375665685;1.2021358375665685;25.0;1.0;2.0;1.0;1
