total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;h;s;mwf;r;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_perplexety_reverse;simple_errors_per_word;complex_errors_per_word;level
-1.150084406;-1.107684252;-1.117327168;-1.013429618;-1.131063459;-1.130562568;-1.211730047;-1.189745188;0.664891329;-1.376130882;1.774364155;-1.317874291;-1.317874291;1.803987498;1.75378775;-1.481152046;-1.317874291;-1.093054236;-1.109638151;-1.089099448;-1.158893616;-1.100062131;-1.084061995;-1.147661216;-1.072968004;-0.220419285;-0.626135038;1
-1.017702177;-1.262280798;-1.048809129;-1.013429618;-1.00632221;-1.089177812;-1.007452915;-0.935594013;1.786443695;-0.696630131;1.514687619;-0.877369697;-0.877369697;1.571264924;1.572003207;-1.329237166;-0.877369697;-1.116681399;-1.038633428;-1.089099448;-0.992937312;-1.100062131;-1.084061995;-1.212439835;-0.992539831;-0.644302525;-0.049052054;1
-1.141810517;-1.107684252;-1.122597786;-0.965798584;-1.132820378;-1.130562568;-1.258870924;-1.232103717;-0.35470173;-1.595347994;0.790740915;-1.600591357;-1.600591357;0.283707787;-0.44300267;-0.842087048;-1.600591357;-1.062347895;-1.095437207;-1.179965007;-1.055170926;-1.128965497;-1.084061995;-1.082882596;-1.170426994;-0.644302525;-0.626135038;1
-1.183179963;-0.334701522;-1.154221496;-1.013429618;-1.153903406;-1.161601135;-1.290298175;-1.189745188;1.626221928;-1.266735926;1.366301028;-1.596093053;-1.596093053;1.121569235;0.685047773;-1.23745526;-1.596093053;-1.15992169;-1.152240986;-1.119387968;-1.158893616;-1.157868864;-0.916250541;-1.147661216;-1.115483856;-0.644302525;-0.626135038;1
-0.769485497;-0.643894614;-0.832713777;-0.918167551;-0.818331876;-0.789138328;-0.74032128;-0.82969769;-0.370387777;-0.867447235;0.52924846;-0.586295215;-0.586295215;0.440658019;0.311858452;-0.63853943;-0.586295215;-0.846563437;-0.768815478;-0.755925731;-0.764747394;-0.637608266;-0.706486223;-0.564653637;-1.000396262;-0.008477665;-0.626135038;1
-1.141810517;-1.262280798;-1.075162221;-0.870536518;-1.101195836;-1.130562568;-1.211730047;-1.10502813;2.092321613;-1.010268932;1.546163563;-1.354724718;-1.354724718;1.477217102;1.297827904;-1.348226526;-1.354724718;-0.858296488;-1.16644193;-1.104243708;-1.11740454;-1.071158764;-1.126014859;-1.082882596;-1.012142267;-0.856244145;-0.626135038;1
-1.116988849;-1.107684252;-1.064620984;-0.822905485;-1.071328213;-1.078831623;-1.196016421;-1.210924452;-0.456661036;-1.560106087;1.168452239;-1.377441711;-1.377441711;0.945130609;0.581920449;-1.108960591;-1.377441711;-0.992371578;-1.067035317;-1.104243708;-1.096660002;-1.100062131;-1.251873449;-1.147661216;-0.931102426;-0.856244145;-0.626135038;1
-1.10044107;-1.262280798;-1.054079747;-0.822905485;-1.067814375;-1.068485434;-1.16458917;-1.168565923;-0.043457533;-1.415714195;1.241343898;-1.287478904;-1.287478904;1.084038943;0.80894162;-1.157146092;-1.287478904;-1.062021835;-1.067035317;-1.073955188;-0.992937312;-0.926641931;-1.126014859;-0.953325356;-1.057605604;-0.856244145;-0.049052054;1
-1.125262738;-0.79849116;-1.080432839;-0.870536518;-1.07659897;-1.099524001;-1.243157298;-1.210924452;-0.296439269;-1.540240891;0.654045388;-1.58278861;-1.58278861;0.100031862;-0.663423032;-0.737753769;-1.58278861;-1.17199644;-1.081236262;-1.179965007;-1.200382692;-1.128965497;-1.126014859;-1.277218455;-1.166338874;-0.856244145;-0.626135038;1
-1.125262738;-1.107684252;-1.122597786;-1.013429618;-1.108223512;-1.140908757;-1.16458917;-1.147386659;0.857157449;-1.256182574;1.841138121;-1.184891026;-1.184891026;1.926235718;1.955916995;-1.518537348;-1.184891026;-1.181897144;-1.123839096;-1.149676487;-1.096660002;-1.18677223;-1.126014859;-1.082882596;-1.189187026;-0.856244145;-0.049052054;1
