total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;h;s;mwf;r;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_perplexety_reverse;simple_errors_per_word;complex_errors_per_word;level
31;2;41;3;127;26;23;15;0.4838709677419355;2.694079530401624;0.7419354838709677;4.130921946615823;2.9210029210043813;0.913076848927645;0.9262919625577393;1.3478260869565217;4.130921946615823;2.925268444339558;19.0;15.0;14.0;8.0;7.0;6.0;1.2828367763404063;0.0;0.0;1
27;1;32;1;104;24;22;12;0.4444444444444444;2.309401076758503;0.8148148148148148;4.233901974057256;2.9938207967349952;0.9378626974051986;0.9462112316433494;1.2272727272727273;4.233901974057256;1.108553832144113;15.0;20.0;12.0;10.0;7.0;4.0;1.1404261184617115;0.0;0.0;1
33;2;46;4;125;27;30;17;0.5151515151515151;2.9593201512468634;0.9090909090909091;5.222329678670935;3.6927447293799815;0.972741320266343;0.977921496293501;1.1;5.222329678670935;0.7254701424204429;20.0;22.0;13.0;17.0;10.0;8.0;0.4202268544541235;3.0;1.0;1
37;1;43;1;147;30;31;15;0.40540540540540543;2.4659848095803594;0.8378378378378378;5.0963686064660765;3.603676801058398;0.9510011824030876;0.9608711373533503;1.1935483870967742;5.0963686064660765;1.216331623601572;25.0;21.0;15.0;9.0;6.0;4.0;0.5622595662347885;2.0;0.0;1
29;3;44;3;134;21;27;18;0.6206896551724138;3.342516087186934;0.9310344827586207;5.0137741307804005;3.545273687212509;0.9787785310260572;0.9823328350271083;1.0740740740740742;5.0137741307804005;1.2332551841872255;17.0;12.0;5.0;3.0;2.0;3.0;0.935349004835205;4.0;1.0;1
31;4;53;7;153;21;27;17;0.5483870967741935;3.0532901344551737;0.8709677419354839;4.849343154722923;3.4290034290051437;0.9597696991123384;0.9667170409148353;1.1481481481481481;4.849343154722923;1.2088996675519916;14.0;15.0;12.0;8.0;5.0;5.0;0.3551525306489771;1.0;1.0;1
25;1;33;2;111;17;15;12;0.48;2.4;0.6;3.0;2.1213203435596424;0.8413030972429927;0.8521826118220067;1.6666666666666667;3.0;0.6044284014917524;14.0;13.0;12.0;9.0;8.0;0.0;1.2021358375665685;2.0;1.0;1
31;2;38;3;118;22;29;21;0.6774193548387096;3.771711342562273;0.9354838709677419;5.208553758776472;3.6830036830055244;0.980579026499701;0.9841033572782466;1.0689655172413792;5.208553758776472;0.1893640229988256;17.0;16.0;8.0;4.0;5.0;2.0;0.390050947348249;5.0;2.0;1
28;1;34;1;97;18;25;17;0.6071428571428571;3.2126980205784315;0.8928571428571429;4.72455591261534;3.3407655239053047;0.9659898769835575;0.9712521237667612;1.12;4.72455591261534;1.143390316621392;14.0;14.0;10.0;9.0;2.0;3.0;1.311829169111697;0.0;0.0;1
32;2;47;3;136;25;29;16;0.5;2.82842712474619;0.90625;5.126524163602469;3.625;0.9715961990255144;0.9768167877159565;1.103448275862069;5.126524163602469;0.7256205101977986;19.0;20.0;10.0;9.0;6.0;3.0;1.2536730021321971;3.0;0.0;1
48;1;60;3;207;29;42;28;0.5833333333333334;4.041451884327381;0.875;6.062177826491071;4.286607049870562;0.9655064688585607;0.9740666444720312;1.1428571428571428;6.062177826491071;0.5938349925527858;24.0;20.0;18.0;9.0;6.0;2.0;1.6647157719474655;1.0;1.0;1
33;2;46;4;135;25;26;14;0.42424242424242425;2.4370871833797696;0.7878787878787878;4.526019054848144;3.2003787654626508;0.9318145265657582;0.9435824529650126;1.2692307692307692;4.526019054848144;0.8968916458748744;20.0;14.0;15.0;8.0;6.0;4.0;0.7555911547312619;1.0;0.0;1
28;7;40;3;123;22;24;16;0.5714285714285714;3.0237157840738176;0.8571428571428571;4.535573676110727;3.2071349029490928;0.953739129949394;0.9606482621112574;1.1666666666666667;4.535573676110727;0.3526530898057598;16.0;18.0;10.0;7.0;10.0;3.0;1.0363880290443737;1.0;0.0;1
78;5;101;5;314;58;59;33;0.4230769230769231;3.7365142126771658;0.7564102564102564;6.680434501453115;4.723780537250071;0.9359214962740583;0.9550024350458736;1.3220338983050848;6.680434501453115;2.100475273424847;43.0;42.0;29.0;25.0;15.0;12.0;1.624564057313209;4.0;0.0;1
33;1;55;6;153;25;29;20;0.6060606060606061;3.481553119113957;0.8787878787878788;5.048252022715237;3.569653238400649;0.9630454877592735;0.9699187595630073;1.1379310344827587;5.048252022715237;2.0350316924229808;15.0;19.0;12.0;10.0;5.0;4.0;1.5645339683028965;0.0;0.0;1
36;2;57;7;170;30;30;15;0.4166666666666667;2.5;0.8333333333333334;5.0;3.5355339059327378;0.9491222008519636;0.9590880914258779;1.2;5.0;1.2871994123066774;22.0;19.0;13.0;9.0;2.0;3.0;1.978702774210214;0.0;0.0;1
38;1;59;7;172;31;32;17;0.4473684210526316;2.757764159222963;0.8421052631578947;5.191085476184401;3.670651741928988;0.952757062133867;0.9625226009495459;1.1875;5.191085476184401;0.8987103135395565;22.0;21.0;18.0;15.0;5.0;6.0;1.3321853371736274;0.0;1.0;1
